file,time,var,name,units,type_of_level,levels
2021010100_000.grib2,2021:01:01-00:00:00,ssw,Soil moisture content,kg m**-2,depthBelowLandLayer,
2021010100_000.grib2,2021:01:01-00:00:00,unknown,unknown,unknown,isobaricInhPa,"1015.0,1000.0,985.0,970.0,950.0,925.0,900.0,875.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,275.0,250.0,225.0,200.0,175.0,150.0,100.0,50.0,30.0,20.0,10.0"
2021010100_000.grib2,2021:01:01-00:00:00,r,Relative humidity,%,isobaricInhPa,"1015.0,1000.0,985.0,970.0,950.0,925.0,900.0,875.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,275.0,250.0,225.0,200.0,175.0,150.0,100.0,50.0,30.0,20.0,10.0"
2021010100_000.grib2,2021:01:01-00:00:00,t,Temperature,K,isobaricInhPa,"1015.0,1000.0,985.0,970.0,950.0,925.0,900.0,875.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,275.0,250.0,225.0,200.0,175.0,150.0,100.0,50.0,30.0,20.0,10.0"
2021010100_000.grib2,2021:01:01-00:00:00,gh,Geopotential height,gpm,isobaricInhPa,"1015.0,1000.0,985.0,970.0,950.0,925.0,900.0,875.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,275.0,250.0,225.0,200.0,175.0,150.0,100.0,50.0,30.0,20.0,10.0"
2021010100_000.grib2,2021:01:01-00:00:00,u,U component of wind,m s**-1,isobaricInhPa,"1015.0,1000.0,985.0,970.0,950.0,925.0,900.0,875.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,275.0,250.0,225.0,200.0,175.0,150.0,100.0,50.0,30.0,20.0,10.0"
2021010100_000.grib2,2021:01:01-00:00:00,v,V component of wind,m s**-1,isobaricInhPa,"1015.0,1000.0,985.0,970.0,950.0,925.0,900.0,875.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,275.0,250.0,225.0,200.0,175.0,150.0,100.0,50.0,30.0,20.0,10.0"
2021010100_000.grib2,2021:01:01-00:00:00,ws,Wind speed,m s**-1,isobaricInhPa,"1015.0,1000.0,985.0,970.0,950.0,925.0,900.0,875.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,275.0,250.0,225.0,200.0,175.0,150.0,100.0,50.0,30.0,20.0,10.0"
2021010100_000.grib2,2021:01:01-00:00:00,wdir,Wind direction,Degree true,isobaricInhPa,"1015.0,1000.0,985.0,970.0,950.0,925.0,900.0,875.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,275.0,250.0,225.0,200.0,175.0,150.0,100.0,50.0,30.0,20.0,10.0"
2021010100_000.grib2,2021:01:01-00:00:00,q,Specific humidity,kg kg**-1,isobaricInhPa,"1015.0,1000.0,985.0,970.0,950.0,925.0,900.0,875.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,275.0,250.0,225.0,200.0,175.0,150.0,100.0,50.0,30.0,20.0,10.0"
2021010100_000.grib2,2021:01:01-00:00:00,thick,Thickness,m,isobaricLayer,
